Model	Dense	class_name	activation	GlobalMaxPooling2D	strides	AveragePooling2D	GlobalAveragePooling2D	PReLU	Convolution2D	BatchNormalization	output_dim	m	nb_col	pool_size	p	nb_filter	Flatten	input_dim	l1	l2	MaxPooling2D	nb_row	Dropout	Activation	mean_auPRC	mean_recallAtFDR50	mean_auROC	mean_balanced_accuracy
record_3_model_D0lMt_modelYaml.yaml	3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	None	2	3	3	[1000, 1000, 1]	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	[300, 200, 200]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1, 1]	2	3	0.36	0.00E+00	0.50	0.50
record_20_model_zGDVe_modelYaml.yaml	5	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear', 'linear', 'linear', 'linear']	None	None	None	None	4	None	None	[2000, 1500, 1000, 500, 61]	[7]	None	None	[0.5, 0.3, 0.3, 0.3]	None	None	[15360, 2000, 1500, 1000, 500]	[0.0, 0.0, 0.0, 0.0, 0.0]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 0.0010000000474974513]	None	None	4	None	0.03	2.70E-05	0.46	0.50
record_7_model_wsb4F_modelYaml.yaml	2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear', 'linear', 'linear']	None	[(1, 4), (1, 5)]	None	None	3	2	None	[500, 61]	[7, 7, 7]	[30, 10]	[(1, 4), (1, 5)]	[0.3]	[1000, 200]	1	[80000, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	2	[4, 1]	1	None	0.18	0.00E+00	0.51	0.51
record_6_model_fkiE2_modelYaml.yaml	3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	None	2	3	3	[1000, 1000, 61]	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	[300, 200, 200]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1, 1]	2	3	0.52	0.00E+00	0.50	0.50
record_5_model_tH4ej_modelYaml.yaml	3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	None	2	3	3	[1000, 1000, 1]	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	[300, 200, 200]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1, 1]	2	3	0.52	0.00E+00	0.50	0.50
record_3_model_ccP14_modelYaml.yaml	2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear', 'linear', 'linear']	None	[(1, 4), (1, 5)]	None	None	3	2	None	[500, 61]	[7, 7, 7]	[30, 10]	[(1, 4), (1, 5)]	[0.3]	[500, 500]	1	[48000, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	2	[4, 1]	1	None	0.08	1.17E-05	0.70	0.62
record_7_model_BXULw_modelYaml.yaml	2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'GlobalMaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear', 'linear', 'linear']	1	[(1, 4)]	None	None	3	2	None	[500, 61]	[7, 7, 7]	[30, 10]	[(1, 4)]	[0.3]	[1000, 200]	1	[200, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1]	1	None	0.08	1.43E-04	0.70	0.62
record_9_model_MKfi5_modelYaml.yaml	1	['Convolution2D', 'PReLU', 'AveragePooling2D', 'Convolution2D', 'PReLU', 'GlobalAveragePooling2D', 'Flatten', 'Dense']	['linear', 'linear', 'linear']	None	[(1, 4)]	1	1	2	2	None	[61]	None	[30, 10]	[(1, 4)]	None	[1000, 700]	1	[700]	[9.999999747378752e-05]	[0.0]	None	[4, 1]	None	None	0.07	1.18E-04	0.66	0.59
record_1_model_y3oEQ_modelYaml.yaml	3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	None	2	3	3	[1000, 1000, 1]	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	[300, 200, 200]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1, 1]	2	3	NaN	NaN	0.50	0.48
record_17_model_pfhKN_modelYaml.yaml	5	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear', 'linear', 'linear', 'linear']	None	None	None	None	4	None	None	[2000, 1500, 1000, 500, 61]	[7]	None	None	[0.5, 0.3, 0.3, 0.3]	None	None	[1920, 2000, 1500, 1000, 500]	[0.0, 0.0, 0.0, 0.0, 0.0]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 0.0010000000474974513]	None	None	4	None	0.07	2.48E-04	0.66	0.61
record_19_model_VvD85_modelYaml.yaml	2	['Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear']	None	None	None	None	1	None	None	[2000, 61]	[7]	None	None	[0.5]	None	None	[15360, 2000]	[9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0]	None	None	1	None	0.03	8.39E-05	0.49	0.48
record_2_model_PDxfH_modelYaml.yaml	3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	None	2	3	3	[1000, 1000, 61]	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	[300, 200, 200]	1	[7800, 1000, 1000]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1, 1]	2	3	0.52	0.00E+00	0.50	0.48
record_14_model_P9rEi_modelYaml.yaml	3	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear', 'linear']	None	None	None	None	2	None	None	[500, 1000, 61]	[7]	None	None	[0.5, 0.3]	None	None	[15360, 500, 1000]	[0.009999999776482582, 0.0010000000474974513, 9.999999747378752e-05]	[0.009999999776482582, 0.0010000000474974513, 0.0]	None	None	2	None	0.03	4.42E-05	0.46	0.50
record_8_model_lxkY4_modelYaml.yaml	3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	None	2	3	3	[1000, 1000, 61]	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	[300, 200, 200]	1	[7800, 1000, 1000]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1, 1]	2	3	0.52	0.00E+00	0.50	0.50
record_13_model_58mEc_modelYaml.yaml	2	['Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear']	None	None	None	None	1	None	None	[500, 61]	[7]	None	None	[0.3]	None	None	[15360, 500]	[9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0]	None	None	1	None	0.03	2.11E-05	0.47	0.50
record_6_model_Ax9tI_modelYaml.yaml	2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'GlobalMaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear', 'linear', 'linear']	1	[(1, 4)]	None	None	3	2	None	[500, 61]	[7, 7, 7]	[30, 10]	[(1, 4)]	[0.3]	[1000, 200]	1	[200, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[0.0, 0.0, 0.0, 0.0]	1	[4, 1]	1	None	0.08	1.46E-04	0.69	0.62
record_18_model_IguH3_modelYaml.yaml	2	['Dense', 'PReLU', 'Dropout', 'Dense']	['linear', 'linear']	None	None	None	None	1	None	None	[2000, 61]	[7]	None	None	[0.5]	None	None	[1920, 2000]	[0.0, 0.0]	[9.999999747378752e-06, 9.999999747378752e-06]	None	None	1	None	0.06	5.41E-05	0.64	0.60
record_8_model_7r6ZR_modelYaml.yaml	1	['Convolution2D', 'PReLU', 'AveragePooling2D', 'Convolution2D', 'PReLU', 'GlobalAveragePooling2D', 'Flatten', 'Dense']	['linear', 'linear', 'linear']	None	[(1, 4)]	1	1	2	2	None	[61]	None	[30, 10]	[(1, 4)]	None	[1000, 700]	1	[700]	[9.999999747378752e-05]	[0.0]	None	[4, 1]	None	None	0.07	1.25E-04	0.66	0.59
